order_id,customer,order_amount,order_date,payment_method,status
ORD1003,Aishani Bassi,8939.29,2026-09-02,UPI,paid
ORD1018,Azad Narayanan,13023.96,2026-08-22,UPI,paid
ORD1025,Dipta Bhandari,10332.29,2026-08-08,UPI,paid
ORD1028,William Lanka,13714.41,2026-08-16,UPI,paid
ORD1039,Mohini Narasimhan,14571.96,2026-08-07,UPI,paid
ORD1030,Bhavani Dugar,13293.31,2026-08-14,UPI,paid
ORD1011,Advay Contractor,5512.89,2026-08-23,UPI,paid
ORD1042,Aarav Venkatesh,9347.61,2026-08-04,card,paid
ORD1074,Jonathan Swaminathan,6049.69,2026-08-18,UPI,paid
ORD1090,Krishna Shah,3730.61,2026-08-25,card,paid
ORD1010,Michael Dutta,1712.71,2026-08-22,UPI,paid
ORD1021,Rehaan Gupta,10118.59,2026-08-12,UPI,paid
ORD1060,Inaya Kapur,3143.07,2026-08-14,UPI,paid
ORD1065,Hitesh Sant,4640.21,2026-08-25,card,partially_refunded
ORD1027,Finn Saini,6137.24,2026-09-01,UPI,paid
ORD1076,Max Dixit,8587.75,2026-09-01,UPI,paid
ORD1056,Vinaya Kanda,7184.75,2026-08-29,netbanking,paid
ORD1059,Eta Nazareth,2806.57,2026-08-25,UPI,paid
ORD1041,Dipta Sarin,7133.42,2026-08-25,wallet,paid
ORD1075,Charan Krishnan,1040.36,2026-08-18,UPI,paid
ORD1073,Utkarsh Patel,7605.77,2026-09-02,UPI,paid
ORD1055,Vansha Ahuja,2928.96,2026-08-19,netbanking,paid
ORD1026,Quincy Biswas,3589.91,2026-09-02,UPI,paid
ORD1036,Irya Ray,2462.05,2026-08-29,UPI,paid
ORD1085,Ijaya Rege,2602.45,2026-08-18,netbanking,paid
ORD1000,Pahal Balay,9663.52,2026-09-03,UPI,paid
ORD1070,Damini Pillay,1040.95,2026-08-04,netbanking,partially_refunded
ORD1051,Sanaya Dutt,3719.98,2026-08-18,wallet,paid
ORD1038,Upma Kapadia,9019.15,2026-08-20,UPI,paid
ORD1072,Rehaan Kalita,4608.06,2026-08-28,card,partially_refunded
ORD1075,Charan Krishnan,1040.36,2026-08-18,UPI,paid
ORD1022,Saanvi Chaudhari,9215.14,2026-08-29,UPI,paid
ORD1089,Ekaraj Majumdar,14688.65,2026-08-29,netbanking,paid
ORD1080,Atharv Chand,4560.42,2026-08-20,card,paid
ORD1048,Tamanna Sachdeva,1629.54,2026-08-06,card,paid
ORD1079,Rachana Naidu,4318.3,2026-08-06,UPI,pending
