order_id,customer,order_amount,order_date,payment_method,status
ORD1021,Jai Luthra,769.2,2026-08-04,UPI,paid
ORD1083,Darsh Pandya,20729.74,2026-08-13,netbanking,paid
ORD1071,Joshua Kade,2348.17,2026-08-27,UPI,paid
ORD1056,Tanish Khare,5189.2,2026-08-31,UPI,paid
ORD1012,Aahana Dugal,12442.62,2026-08-12,UPI,paid
ORD1029,Lakshit Mukherjee,4098.43,2026-08-16,wallet,paid
ORD1015,Anita Bal,12214.75,2026-08-12,UPI,paid
ORD1039,Nimrat Warrior,11894.95,2026-08-15,netbanking,paid
ORD1078,Harsh Palan,14872.19,2026-08-13,card,paid
ORD1036,Theodore Nayak,6590.34,2026-08-27,UPI,paid
ORD1002,Veer Kale,8587.6,2026-08-22,UPI,paid
ORD1072,Anita Divan,2609.13,2026-08-22,netbanking,pending
ORD1058,Ubika Menon,3712.16,2026-08-04,UPI,paid
ORD1048,Bimala Gour,13386.25,2026-08-18,wallet,partially_refunded
ORD1027,Lavanya Mann,4270.14,2026-08-12,netbanking,paid
ORD1068,Sanaya Dass,624.33,2026-08-09,wallet,pending
ORD1024,Samuel Chatterjee,4997.15,2026-08-29,UPI,paid
ORD1058,Ubika Menon,3712.16,2026-08-04,UPI,paid
ORD1017,Harini Goyal,1264.75,2026-08-06,UPI,paid
ORD1053,Dhriti Kapur,8560.11,2026-08-15,card,partially_refunded
ORD1043,Madhavi Dugar,6533.66,2026-08-03,UPI,paid
ORD1086,Krish Swaminathan,9945.93,2026-08-17,netbanking,paid
ORD1033,Baljiwan Narayan,996.02,2026-08-09,netbanking,paid
ORD1077,Chaitanya Pall,3687.77,2026-08-26,card,pending
ORD1000,Nakul Rout,668.53,2026-08-11,UPI,paid
ORD1070,Zinal Date,10791.09,2026-08-11,UPI,pending
ORD1081,Robert Sankaran,22280.8,2026-08-21,card,paid
ORD1044,Gopal Vohra,541.37,2026-08-09,netbanking,paid
ORD1075,Balveer Mishra,10452.65,2026-09-02,card,paid
ORD1046,Amara Nayak,17345.34,2026-08-24,card,partially_refunded
ORD1079,Hamsini Rout,16600.26,2026-08-15,netbanking,paid
ORD1052,Yatan Oak,15680.56,2026-08-20,netbanking,partially_refunded
ORD1028,Arin Soni,7847.22,2026-08-19,wallet,paid
ORD1060,Wahab Boase,1242.39,2026-08-10,UPI,paid
ORD1087,Qabil Banerjee,19180.79,2026-08-05,netbanking,paid
ORD1065,Aishani Vohra,1152.53,2026-08-08,UPI,paid
ORD1063,Abhiram Om,4802.21,2026-08-19,UPI,paid
ORD1005,Vedhika Chander,8989.22,2026-08-31,UPI,paid
ORD1084,Jalsa Chakrabarti,7764.41,2026-08-18,card,paid
ORD1025,Quincy Johal,13227.26,2026-09-03,card,paid
ORD1047,Advay Kota,4372.29,2026-08-24,wallet,partially_refunded
ORD1061,Rachit Comar,6451.69,2026-08-24,UPI,paid
ORD1055,Pallavi Tandon,605.97,2026-08-04,UPI,paid
ORD1022,Ayushman Varkey,13996.61,2026-08-04,UPI,paid
ORD1076,Ekantika Palan,10322.46,2026-08-20,UPI,paid
ORD1023,Ekapad Das,10640.55,2026-09-03,UPI,paid
ORD1037,Chasmum Pradhan,2041.77,2026-07-31,netbanking,paid
ORD1066,Anya Sahni,3582.3,2026-08-31,UPI,paid
ORD1009,Vedika Roy,3592.41,2026-08-24,UPI,paid
ORD1057,Ijaya Prasad,4811.6,2026-08-16,UPI,paid
ORD1045,Pallavi Trivedi,13421.03,2026-08-16,netbanking,partially_refunded
ORD1064,Arjun Deo,6622.38,2026-08-15,UPI,paid
ORD1019,Suhani Tripathi,13160.83,2026-08-08,UPI,paid
ORD1069,Thomas Parikh,11444.06,2026-08-30,wallet,paid
ORD1032,Chakrika Doctor,1253.75,2026-08-05,netbanking,paid
ORD1030,Samarth Mangat,9964.43,2026-08-30,card,paid
ORD1031,Oscar Sharma,9286.6,2026-08-23,wallet,paid
ORD1001,Jairaj Raman,1559.83,2026-08-16,UPI,paid
ORD1011,Saksham Shankar,11975.42,2026-08-12,UPI,paid
ORD1062,Sarthak Chaudhari,5387.89,2026-08-26,UPI,paid
ORD1080,Manan Chana,21212.08,2026-08-26,card,paid
ORD1014,Aahana Ramaswamy,13276.55,2026-08-06,UPI,paid
ORD1056,Tanish Khare,5189.2,2026-08-31,UPI,paid
ORD1038,Abhimanyu Chakraborty,7830.14,2026-08-09,wallet,paid
ORD1061,Rachit Comar,6451.69,2026-08-24,UPI,paid
ORD1010,Balvan Srinivasan,2523.09,2026-08-16,UPI,paid
ORD1042,Falguni Doctor,6755.54,2026-08-19,netbanking,paid
ORD1034,Zashil Lanka,8942.23,2026-08-28,netbanking,paid
